Instances,Source,algo_Push,algo_PAR,algo_P2R,algo_Pseudo,feature_Order,feature_Size,feature_Density,feature_AvNdDgr,feature_PercLoCap,feature_PercHiCap,feature_ScAvNdCap,feature_ScPotNetExcess,feature_AVScPotNetExcess,feature_CVAC,feature_CVAvNdDg,feature_ScRngCap,feature_ScAvCap,feature_ScCapDens
AC_F_Rand_n10000_c100000000_1(Rand),AC,7.989,0.995,1.002,0.008,10000,49995000,0.5,4999.5,0.50003,0.49997,4999.2068,24988412.08,2499.3411,0.57734,0,2.0001,0.99994,0.49997
AC_F_Rand_n10000_c100000000_2(Rand),AC,4.947,1.237,1.044,0.029,10000,49995000,0.5,4999.5,0.50002,0.49998,4999.4532,24988136.73,2499.3135,0.57732,0,2,0.99999,0.5
AC_F_Rand_n10000_c100000000_3(Rand),AC,11.23,1.79,1.572,1.691,10000,49995000,0.5,4999.5,0.49998,0.50002,5000.4479,24989470.73,2499.447,0.57727,0,1.9996,1.0002,0.50009
AC_F_Rand_n10000_c100000000_4(Rand),AC,7.577,1.285,1.002,0.016,10000,49995000,0.5,4999.5,0.49994,0.50006,4998.9595,24991465.12,2499.6464,0.57748,0,2.0002,0.99989,0.49995
AC_F_Rand_n10000_c100000000_5(Rand),AC,4.851,1.26,1.015,0.053,10000,49995000,0.5,4999.5,0.49999,0.50001,4999.8948,24989078.75,2499.4078,0.5773,0,1.9998,1.0001,0.50004
AC_F_Rand_n10000_c100_1(Rand),AC,5.467,1.315,0.947,0.01,10000,49995000,0.5,4999.5,0.50004,0.49996,4999.1583,24994330.38,2499.933,0.57169,0,1.9605,0.99993,0.49997
AC_F_Rand_n10000_c100_2(Rand),AC,9.774,1.69,1.521,2.086,10000,49995000,0.5,4999.5,0.50008,0.49992,4999.2378,24993740.53,2499.874,0.57165,0,1.9605,0.99995,0.49997
AC_F_Rand_n10000_c100_3(Rand),AC,6.257,1.577,1.196,0.156,10000,49995000,0.5,4999.5,0.49995,0.50005,4999.7264,24991000.75,2499.6,0.5716,0,1.9603,1,0.50002
AC_F_Rand_n10000_c100_4(Rand),AC,8.088,1.065,0.999,0.009,10000,49995000,0.5,4999.5,0.50004,0.49996,4999.3904,24989151.24,2499.415,0.57168,0,1.9604,0.99998,0.49999
AC_F_Rand_n10000_c100_5(Rand),AC,7.546,1.346,1,0.012,10000,49995000,0.5,4999.5,0.49993,0.50007,4999.8239,24988839.52,2499.3838,0.57152,0,1.9603,1.0001,0.50003
AC_F_Rand_n1000_c100000000_1(Rand),AC,0.047,0.014,0.01,0,1000,499500,0.5,499.5,0.50009,0.49991,499.4351,249012.6487,249.5117,0.57746,0,2.0003,0.99987,0.49994
AC_F_Rand_n1000_c100000000_2(Rand),AC,0.025,0.01,0.01,0,1000,499500,0.5,499.5,0.5,0.5,500.0315,249210.8957,249.7103,0.5767,0,1.9979,1.0011,0.50053
AC_F_Rand_n1000_c100000000_3(Rand),AC,0.035,0.015,0.014,0.006,1000,499500,0.5,499.5,0.50012,0.49988,499.0426,249039.9707,249.539,0.57789,0,2.0018,0.99908,0.49954
AC_F_Rand_n1000_c100000000_4(Rand),AC,0.051,0.014,0.013,0.004,1000,499500,0.5,499.5,0.50046,0.49954,499.5011,249134.6487,249.6339,0.57799,0,2,1,0.5
AC_F_Rand_n1000_c100000000_5(Rand),AC,0.049,0.017,0.014,0.004,1000,499500,0.5,499.5,0.49981,0.50019,499.9514,248899.0457,249.3978,0.57661,0,1.9982,1.0009,0.50045
AC_F_Rand_n1000_c100_1(Rand),AC,0.029,0.011,0.01,0,1000,499500,0.5,499.5,0.50075,0.49925,499.4354,248971.018,249.47,0.57145,0,1.9606,0.99987,0.49994
AC_F_Rand_n1000_c100_2(Rand),AC,0.059,0.012,0.014,0.008,1000,499500,0.5,499.5,0.50011,0.49989,499.6676,248675.8457,249.1742,0.5705,0,1.9597,1.0003,0.50017
AC_F_Rand_n1000_c100_3(Rand),AC,0.035,0.012,0.011,0.001,1000,499500,0.5,499.5,0.50086,0.49914,499.1944,248921.5921,249.4204,0.57163,0,1.9616,0.99939,0.49969
AC_F_Rand_n1000_c100_4(Rand),AC,0.06,0.015,0.014,0.008,1000,499500,0.5,499.5,0.50087,0.49913,499.1055,249123.2773,249.6225,0.57199,0,1.9619,0.99921,0.49961
AC_F_Rand_n1000_c100_5(Rand),AC,0.059,0.015,0.017,0.008,1000,499500,0.5,499.5,0.49987,0.50013,499.8147,249194.5777,249.694,0.57121,0,1.9592,1.0006,0.50032
AC_F_Rand_n15000_c100000000_1(Rand),AC,27.954,3.652,2.479,0.168,15000,112492500,0.5,7499.5,0.49996,0.50004,7499.6194,56232419.73,3749.3279,0.57731,0,2,1,0.50001
AC_F_Rand_n15000_c100000000_2(Rand),AC,18.86,2.797,2.449,0.011,15000,112492500,0.5,7499.5,0.50002,0.49998,7499.104,56239880.69,3749.8254,0.57736,0,2.0001,0.99995,0.49997
AC_F_Rand_n15000_c100000000_3(Rand),AC,28.028,3.587,4.379,2.794,15000,112492500,0.5,7499.5,0.50003,0.49997,7499.9571,56232096.6,3749.3063,0.57733,0,1.9999,1.0001,0.50003
AC_F_Rand_n15000_c100000000_4(Rand),AC,25.275,5.093,3.801,2.822,15000,112492500,0.5,7499.5,0.49995,0.50005,7499.6419,56233752.35,3749.4167,0.57735,0,2,1,0.50001
AC_F_Rand_n15000_c100000000_5(Rand),AC,18.613,2.84,3.395,1.28,15000,112492500,0.5,7499.5,0.5,0.5,7498.8596,56235375.76,3749.525,0.57737,0,2.0002,0.99991,0.49996
AC_F_Rand_n15000_c100_1(Rand),AC,20.923,3.16,2.829,0.199,15000,112492500,0.5,7499.5,0.5,0.5,7499.2089,56236824.93,3749.6216,0.57166,0,1.9605,0.99996,0.49998
AC_F_Rand_n15000_c100_2(Rand),AC,17.105,3.624,3.297,0.611,15000,112492500,0.5,7499.5,0.50005,0.49995,7498.9342,56234417.15,3749.4611,0.57165,0,1.9605,0.99992,0.49996
AC_F_Rand_n15000_c100_3(Rand),AC,15.356,3.108,2.797,0.22,15000,112492500,0.5,7499.5,0.49995,0.50005,7499.8346,56229754.78,3749.1502,0.57159,0,1.9603,1,0.50002
AC_F_Rand_n15000_c100_4(Rand),AC,16.401,3.098,2.604,0.24,15000,112492500,0.5,7499.5,0.50007,0.49993,7498.9438,56238191.55,3749.7127,0.5716,0,1.9605,0.99993,0.49996
AC_F_Rand_n15000_c100_5(Rand),AC,22.012,3.694,2.331,0.201,15000,112492500,0.5,7499.5,0.49998,0.50002,7499.5147,56236204.19,3749.5802,0.57158,0,1.9604,1,0.5
AC_F_Rand_n20000_c100000000_2(Rand),AC,45.987,5.263,5.883,3.572,20000,199990000,0.5,9999.5,0.50004,0.49996,9998.8805,99975300.08,4999.2649,0.57738,0,2.0001,0.99994,0.49997
AC_F_Rand_n20000_c100000000_3(Rand),AC,31.401,5.384,4.337,0.104,20000,199990000,0.5,9999.5,0.50002,0.49998,9999.2388,99980153.09,4999.5076,0.57737,0,2.0001,0.99997,0.49999
AC_F_Rand_n20000_c100000000_5(Rand),AC,60.416,6.352,6.561,8.161,20000,199990000,0.5,9999.5,0.49999,0.50001,9999.4567,99983143.24,4999.6571,0.57733,0,2,1,0.5
AC_F_Rand_n20000_c100_1(Rand),AC,44.669,6.075,5.488,2.832,20000,199990000,0.5,9999.5,0.50002,0.49998,9999.2744,99980145.68,4999.5072,0.57161,0,1.9604,0.99998,0.49999
AC_F_Rand_n20000_c100_2(Rand),AC,31.185,5.223,4.727,1.492,20000,199990000,0.5,9999.5,0.5,0.5,9999.7337,99981083.03,4999.5541,0.5716,0,1.9604,1,0.50001
AC_F_Rand_n20000_c100_3(Rand),AC,42.628,5.752,5.838,5.989,20000,199990000,0.5,9999.5,0.50001,0.49999,9999.3128,99983199.2,4999.6599,0.57162,0,1.9604,0.99998,0.49999
AC_F_Rand_n20000_c100_4(Rand),AC,31.808,5.523,4.26,0.023,20000,199990000,0.5,9999.5,0.49999,0.50001,9999.6818,99985295.13,4999.7647,0.5716,0,1.9604,1,0.50001
AC_F_Rand_n20000_c100_5(Rand),AC,33.503,4.969,4.193,0.018,20000,199990000,0.5,9999.5,0.49997,0.50003,9999.7712,99972314.52,4999.1156,0.57158,0,1.9603,1,0.50001
AC_F_Rand_n25000_c100000000_1(Rand),AC,112.482,13.641,10.256,14.73,25000,312487500,0.5,12499.5,0.50001,0.49999,12499.2277,156224873.5,6249.4949,0.57735,0,2,0.99998,0.49999
AC_F_Rand_n25000_c100000000_2(Rand),AC,93.954,12.684,9.714,15.339,25000,312487500,0.5,12499.5,0.49999,0.50001,12499.241,156221411.4,6249.3564,0.57736,0,2,0.99998,0.49999
