Instances,Source,algo_Hi_PR,algo_PAR,algo_P2R,algo_Pseudo_Hi_FIFO,feature_Order,feature_Size,feature_AvNdDgr,feature_AVScPotNetExcess,feature_CVAvNdDg,feature_ScCapDens
AC_1024_1(C_1m),AC,0.056,0.015,0.01,0,1024,523776,511.5,255.6273,0,0.50005
AC_16384_1(C_1m),AC,23.387,3.733,3.11,0.359,16384,134209536,8191.5,4095.6742,0,0.49994
AC_16384_2(C_1m),AC,29.727,4.465,4.191,4.857,16384,134209536,8191.5,4095.4043,0,0.49997
AC_16384_3(C_1m),AC,28.343,3.216,2.789,0.068,16384,134209536,8191.5,4095.5268,0,0.49993
AC_2048_1(C_1m),AC,0.369,0.062,0.061,0.042,2048,2096128,1023.5,511.427,0,0.49977
AC_32768_1(C_1m),AC,159.466,21.711,19.732,24.11,32768,536854528,16383.5,8191.9596,0,0.49996
AC_32768_2(C_1m),AC,96.613,16.027,14.119,6.787,32768,536854528,16383.5,8191.5643,0,0.49994
AC_32768_3(C_1m),AC,101.766,18.731,12.857,0.041,32768,536854528,16383.5,8191.3121,0,0.49992
AC_4096_1(C_1m),AC,1.258,0.309,0.161,0.003,4096,8386560,2047.5,1023.9724,0,0.49972
AC_8192_1(C_1m),AC,5.648,0.835,0.714,0.074,8192,33550336,4095.5,2047.8368,0,0.49993
AC_8192_5(C_1m),AC,6.511,1.015,1.02,1.167,8192,33550336,4095.5,2047.5807,0,0.49991
AC_32768_1(_10m),AC,190.212,15.785,23.769,14.851,32768,536854528,16383.5,8191.2065,0,0.49959
AC_32768_3(_10m),AC,119.648,13.804,16.773,10.254,32768,536854528,16383.5,8191.6057,0,0.49955
AC_8192_1(_10m),AC,7.765,0.962,0.995,1.408,8192,33550336,4095.5,2047.4188,0,0.49954
AC_16384_4(100k),AC,38.59,3.688,4.357,4.175,16384,134209536,8191.5,4095.6656,0,0.49999
AC_32768_3(100k),AC,97.863,17.161,16.888,14.692,32768,536854528,16383.5,8191.681,0,0.49999
AC_8192_4(100k),AC,5.302,0.983,0.935,0.321,8192,33550336,4095.5,2047.553,0,0.4999
AC_F_Rand_n10000_c100000000_1(Rand),AC,7.989,0.995,1.002,0.008,10000,49995000,4999.5,2499.3411,0,0.49997
AC_F_Rand_n10000_c100000000_3(Rand),AC,11.23,1.79,1.572,1.691,10000,49995000,4999.5,2499.447,0,0.50009
AC_F_Rand_n15000_c100000000_4(Rand),AC,26.932,5.08,3.86,3.442,15000,112492500,7499.5,3749.4167,0,0.50001
AC_F_Rand_n20000_c100000000_1(Rand),AC,38.128,7.196,4.535,0.134,20000,199990000,9999.5,4999.6826,0,0.50001
AC_F_Rand_n20000_c100000000_2(Rand),AC,45.987,5.263,5.883,3.572,20000,199990000,9999.5,4999.2649,0,0.49997
AC_F_Rand_n20000_c100000000_5(Rand),AC,60.416,6.352,6.561,8.161,20000,199990000,9999.5,4999.6571,0,0.5
AC_F_Rand_n20000_c100_1(Rand),AC,44.669,6.075,5.488,2.832,20000,199990000,9999.5,4999.5072,0,0.49999
AC_F_Rand_n25000_c100000000_1(Rand),AC,112.482,13.641,10.256,14.73,25000,312487500,12499.5,6249.4949,0,0.49999
AC_F_Rand_n25000_c100000000_3(Rand),AC,97.047,10.972,9.829,9.498,25000,312487500,12499.5,6249.4598,0,0.50001
AC_F_Rand_n25000_c100000000_4(Rand),AC,44.926,7.633,6.204,0.072,25000,312487500,12499.5,6249.7797,0,0.49999
AC_F_Rand_n25000_c100_5(Rand),AC,55.453,8.49,8.349,2.543,25000,312487500,12499.5,6249.5019,0,0.49998
AC_F_Rand_n5000_c100000000_1(Rand),AC,1.664,0.355,0.327,0.239,5000,12497500,2499.5,1249.7382,0,0.49991
AC_F_Rand_n5000_c100000000_4(Rand),AC,2.138,0.515,0.49,0.399,5000,12497500,2499.5,1249.5679,0,0.50014
AC_F_Spec_n10000_1(Spec),AC,4818.572,2348.474,3081.379,4.438,10000,49995000,4999.5,0,0,6.70E-05
AC_F_Spec_n1000_1(Spec),AC,3.226,1.667,1.931,0.022,1000,499500,499.5,0,0,0.000672
AC_F_Spec_n15000_1(Spec),AC,18343.213,8342.762,10299.247,15.203,15000,112492500,7499.5,0,0,4.40E-05
