Instances,Source,Push0_Max,Push_max,PAR_Max,PAR0_Max,P2R_Max,P2R0_Max,Pseudo_Max,algo_Push,algo_PAR,algo_P2R,algo_Pseudo,x_PushROC,x_PARROC,x_P2RROC,x_PseudoROC,feature_Nodes,feature_Arcs,feature_Density,feature_CapDens,feature_AvNdDgr,feature_TrivialEtraFlw,feature_PrcNetPotPth,feature_EstMinPrcDepFlw,feature_PerBdCap,feature_PerGdCap,feature_StDAC,feature_OutlMxCap,feature_OutlMnCap,feature_CapAvNddg,feature_RlCapAvNddg,feature_RlPotNetExcess,feature_AVRlPotNetExcess
Netgen_n10000_d0.01_c1000_1,Netgen,976789,976789,976789,976789,976789,976789,976789,0.93,0.34,0.54,0.173,240719,26077,111638,547794,10000,999900,0.01,98.9792,99.99,42878,0.000103,170.8735,0.99,0.010001,93500.8245,94.9864,0.000101,989792.3118,1.0528,12670.0802,1.2671
Netgen_n10000_d0.01_c1000_2,Netgen,540141,540141,540141,540141,540141,540141,540141,0.6,0.19,0.25,0.068,144172,14797,53044,177748,10000,999900,0.01,54.9598,99.99,43878,0.000106,158.1249,0.99,0.010001,49702.8644,90.9756,0.000182,549597.8962,1.0992,22917.7699,2.292
Netgen_n10000_d0.01_c1000_3,Netgen,435065,435065,435065,435065,435065,435065,435065,0.38,0.15,0.2,0.071,102700,11012,38712,170811,10000,999900,0.01,43.4754,99.99,0,0.0001,99.9384,0.99,0.010001,38274.3943,88.5888,0.00023,434753.5755,1.1288,28747.4119,2.875
Netgen_n10000_d0.01_c1000_4,Netgen,568187,568187,568187,568187,568187,568187,568187,0.46,0.18,0.2,0.076,135518,13896,51973,200223,10000,999900,0.01,54.9602,99.99,0,0.000103,129.6344,0.99,0.010001,49702.8599,90.9749,0.000182,549602.3178,1.0992,22699.72,2.2702
Netgen_n10000_d0.01_c1000_5,Netgen,419502,419502,419502,419502,419502,419502,419502,0.32,0.13,0.16,0.049,86642,10321,33869,117283,10000,999900,0.01,43.2927,99.99,0,9.70E-05,75.3417,0.99,0.010001,38095.3201,88.5468,0.000231,432927.102,1.1293,28791.7734,2.8795
Netgen_n10000_d0.01_c10000_1,Netgen,400934,400934,400934,400934,400934,400934,400934,0.08,0.03,0.03,0.003,11537,767,656,12534,10000,999900,0.01,62.4614,99.99,0,6.40E-05,84.1311,0.61777,0.38223,12696.3444,20.6992,0.00016,624614.467,4.8311,198072.7689,19.8093
Netgen_n10000_d0.01_c10000_2,Netgen,799102,799102,799102,799102,799102,799102,799102,0.11,0.04,0.05,0.017,18008,1643,2658,23914,10000,999900,0.01,78.1479,99.99,160707,0.000123,116.4476,0.77419,0.22581,28180.9036,36.6918,0.000128,781478.8563,2.7254,158777.7091,15.8794
Netgen_n10000_d0.01_c10000_3,Netgen,113248,113248,113248,113248,113248,113248,113248,0.04,0.03,0.03,0.002,10117,160,167,9714,10000,999900,0.01,58.9534,99.99,0,1.90E-05,31.2343,0.58435,0.41565,9370.799,16.054,0.00017,589533.7144,6.229,214123.9047,21.4145
Netgen_n10000_d0.01_c10000_4,Netgen,232027,232027,232027,232027,232027,232027,232027,0.04,0.03,0.03,0.002,10679,421,341,10783,10000,999900,0.01,58.1103,99.99,0,4.00E-05,85.1547,0.57452,0.42548,8515.9777,14.7247,0.000172,581103.3069,6.7913,214815.6978,21.4837
Netgen_n10000_d0.01_c10000_5,Netgen,1122181,1122181,1122181,1122181,1122181,1122181,1122181,0.13,0.04,0.04,0.018,26050,2630,4295,28608,10000,999900,0.01,117.8985,99.99,0,9.50E-05,90.361,0.99,0.010001,67585.5004,57.9834,8.50E-05,1178984.832,1.7246,106201.3724,10.6212
Netgen_n10000_d0.01_c100000_1,Netgen,5042980,5042980,5042980,5042980,5042980,5042980,5042980,0.17,0.03,0.05,0.014,25584,1196,3159,19288,10000,999900,0.01,545.2388,99.99,4523568,0.000176,94.6263,0.53963,0.46037,53187.2896,9.1703,1.80E-05,5452388.036,10.9048,228542.0614,22.8565
Netgen_n10000_d0.01_c100000_2,Netgen,5397042,5397042,5397042,5397042,5397042,5397042,5397042,0.1,0.03,0.04,0.015,14782,1175,1816,18734,10000,999900,0.01,545.0669,99.99,2025644,0.000136,98.4128,0.53908,0.46092,53210.5349,9.1732,1.80E-05,5450668.85,10.9013,230097.0039,23.012
Netgen_n10000_d0.01_c100000_3,Netgen,2989378,2989378,2989378,2989378,2989378,2989378,2989378,0.04,0.03,0.03,0.002,11172,504,455,11366,10000,999900,0.01,546.6936,99.99,0,5.50E-05,85.957,0.5418,0.4582,54860.0858,9.5083,1.80E-05,5466936.339,10.5171,227819.0795,22.7842
Netgen_n10000_d0.01_c100000_4,Netgen,3978193,3978193,3978193,3978193,3978193,3978193,3978193,0.07,0.03,0.03,0.002,11620,735,660,12022,10000,999900,0.01,544.9214,99.99,0,7.30E-05,89.0409,0.5395,0.4605,53210.8378,9.1756,1.80E-05,5449214.303,10.8984,233623.909,23.3647
Netgen_n10000_d0.01_c100000_5,Netgen,5044617,5044617,5044617,5044617,5044617,5044617,5044617,0.08,0.03,0.03,0.004,14118,1106,1017,14466,10000,999900,0.01,541.8234,99.99,0,9.30E-05,104.1942,0.53641,0.46359,50423.2849,8.6103,1.80E-05,5418234.125,11.614,232157.6234,23.2181
Netgen_n10000_d0.01_c1000000_1,Netgen,46885132,46885132,46885132,46885132,46885132,46885132,46885132,0.07,0.03,0.03,0.002,11672,866,714,11628,10000,999900,0.01,5002.4649,99.99,0,9.40E-05,107.774,0.50518,0.49482,287136.6864,1.999,2.00E-06,50024649,50.0247,255501.1527,25.5527
Netgen_n10000_d0.01_c1000000_2,Netgen,21735874,21735874,21735874,21735874,21735874,21735874,21735874,0.04,0.03,0.03,0.002,10819,382,320,10581,10000,999900,0.01,4995.621,99.99,0,4.40E-05,101.131,0.49523,0.50477,287253.7085,2.0018,2.00E-06,49956209.51,49.9562,248877.5604,24.8902
Netgen_n10000_d0.01_c1000000_3,Netgen,11128733,11128733,11128733,11128733,11128733,11128733,11128733,0.04,0.03,0.03,0.002,10107,176,153,10003,10000,999900,0.01,5003.0945,99.99,0,2.20E-05,85.4191,0.49585,0.50415,287088.0827,1.9988,2.00E-06,50030945.28,50.0309,253250.9977,25.3276
Netgen_n10000_d0.01_c1000000_4,Netgen,30187086,30187086,30187086,30187086,30187086,30187086,30187086,0.07,0.03,0.04,0.003,11384,627,601,11526,10000,999900,0.01,4988.937,99.99,0,6.10E-05,107.4307,0.50384,0.49616,287530.4199,2.0044,2.00E-06,49889369.65,49.8894,251573.7641,25.1599
Netgen_n10000_d0.01_c1000000_5,Netgen,25138137,25138137,25138137,25138137,25138137,25138137,25138137,0.04,0.03,0.03,0.002,10826,453,379,10624,10000,999900,0.01,5015.3846,99.99,0,5.00E-05,97.7662,0.49615,0.50385,287588.7694,1.9939,2.00E-06,50153846.37,50.1538,252242.1011,25.2267
Netgen_n10000_d0.01_c10000000_1,Netgen,91785038,91785038,91785038,91785038,91785038,91785038,91785038,0.04,0.03,0.03,0.002,10130,206,183,10144,10000,999900,0.01,49465.1613,99.99,0,1.90E-05,107.787,0.50071,0.49929,2903351.35,2.0216,2.00E-06,494651612.9,49.4652,254499.6853,25.4525
Netgen_n10000_d0.01_c10000000_2,Netgen,134899309,134899309,134899309,134899309,134899309,134899309,134899309,0.04,0.03,0.03,0.002,10278,251,229,10313,10000,999900,0.01,49496.8808,99.99,0,2.70E-05,121.0867,0.50157,0.49843,2895678.252,2.0203,5.00E-06,494968807.9,49.4969,250466.3088,25.0491
Netgen_n10000_d0.01_c10000000_3,Netgen,367792298,367792298,367792298,367792298,367792298,367792298,367792298,0.04,0.03,0.03,0.003,11452,642,554,11821,10000,999900,0.01,49580.026,99.99,0,7.40E-05,83.5839,0.50032,0.49968,2906535.24,2.0169,1.00E-06,495800260.3,49.5802,252597.174,25.2622
Netgen_n10000_d0.01_c10000000_4,Netgen,248698631,248698631,248698631,248698631,248698631,248698631,248698631,0.04,0.03,0.03,0.002,10983,475,398,11464,10000,999900,0.01,49566.8968,99.99,0,5.00E-05,97.6643,0.50054,0.49946,2901682.187,2.0175,2.00E-06,495668968.4,49.5669,251918.3266,25.1944
Netgen_n10000_d0.01_c10000000_5,Netgen,274871618,274871618,274871618,274871618,274871618,274871618,274871618,0.07,0.03,0.04,0.002,11484,506,461,11605,10000,999900,0.01,49483.2213,99.99,0,5.60E-05,102.1844,0.50097,0.49903,2907527.156,2.0209,2.00E-06,494832213.4,49.4833,254910.3336,25.4936
