c very bad maxflow problem
p max 1022 1531
n 1 s
n 2 t
a 3 4 255
a 3 258 1
a 4 5 254
a 4 258 1
a 5 6 253
a 5 258 1
a 6 7 252
a 6 258 1
a 7 8 251
a 7 258 1
a 8 9 250
a 8 258 1
a 9 10 249
a 9 258 1
a 10 11 248
a 10 258 1
a 11 12 247
a 11 258 1
a 12 13 246
a 12 258 1
a 13 14 245
a 13 258 1
a 14 15 244
a 14 258 1
a 15 16 243
a 15 258 1
a 16 17 242
a 16 258 1
a 17 18 241
a 17 258 1
a 18 19 240
a 18 258 1
a 19 20 239
a 19 258 1
a 20 21 238
a 20 258 1
a 21 22 237
a 21 258 1
a 22 23 236
a 22 258 1
a 23 24 235
a 23 258 1
a 24 25 234
a 24 258 1
a 25 26 233
a 25 258 1
a 26 27 232
a 26 258 1
a 27 28 231
a 27 258 1
a 28 29 230
a 28 258 1
a 29 30 229
a 29 258 1
a 30 31 228
a 30 258 1
a 31 32 227
a 31 258 1
a 32 33 226
a 32 258 1
a 33 34 225
a 33 258 1
a 34 35 224
a 34 258 1
a 35 36 223
a 35 258 1
a 36 37 222
a 36 258 1
a 37 38 221
a 37 258 1
a 38 39 220
a 38 258 1
a 39 40 219
a 39 258 1
a 40 41 218
a 40 258 1
a 41 42 217
a 41 258 1
a 42 43 216
a 42 258 1
a 43 44 215
a 43 258 1
a 44 45 214
a 44 258 1
a 45 46 213
a 45 258 1
a 46 47 212
a 46 258 1
a 47 48 211
a 47 258 1
a 48 49 210
a 48 258 1
a 49 50 209
a 49 258 1
a 50 51 208
a 50 258 1
a 51 52 207
a 51 258 1
a 52 53 206
a 52 258 1
a 53 54 205
a 53 258 1
a 54 55 204
a 54 258 1
a 55 56 203
a 55 258 1
a 56 57 202
a 56 258 1
a 57 58 201
a 57 258 1
a 58 59 200
a 58 258 1
a 59 60 199
a 59 258 1
a 60 61 198
a 60 258 1
a 61 62 197
a 61 258 1
a 62 63 196
a 62 258 1
a 63 64 195
a 63 258 1
a 64 65 194
a 64 258 1
a 65 66 193
a 65 258 1
a 66 67 192
a 66 258 1
a 67 68 191
a 67 258 1
a 68 69 190
a 68 258 1
a 69 70 189
a 69 258 1
a 70 71 188
a 70 258 1
a 71 72 187
a 71 258 1
a 72 73 186
a 72 258 1
a 73 74 185
a 73 258 1
a 74 75 184
a 74 258 1
a 75 76 183
a 75 258 1
a 76 77 182
a 76 258 1
a 77 78 181
a 77 258 1
a 78 79 180
a 78 258 1
a 79 80 179
a 79 258 1
a 80 81 178
a 80 258 1
a 81 82 177
a 81 258 1
a 82 83 176
a 82 258 1
a 83 84 175
a 83 258 1
a 84 85 174
a 84 258 1
a 85 86 173
a 85 258 1
a 86 87 172
a 86 258 1
a 87 88 171
a 87 258 1
a 88 89 170
a 88 258 1
a 89 90 169
a 89 258 1
a 90 91 168
a 90 258 1
a 91 92 167
a 91 258 1
a 92 93 166
a 92 258 1
a 93 94 165
a 93 258 1
a 94 95 164
a 94 258 1
a 95 96 163
a 95 258 1
a 96 97 162
a 96 258 1
a 97 98 161
a 97 258 1
a 98 99 160
a 98 258 1
a 99 100 159
a 99 258 1
a 100 101 158
a 100 258 1
a 101 102 157
a 101 258 1
a 102 103 156
a 102 258 1
a 103 104 155
a 103 258 1
a 104 105 154
a 104 258 1
a 105 106 153
a 105 258 1
a 106 107 152
a 106 258 1
a 107 108 151
a 107 258 1
a 108 109 150
a 108 258 1
a 109 110 149
a 109 258 1
a 110 111 148
a 110 258 1
a 111 112 147
a 111 258 1
a 112 113 146
a 112 258 1
a 113 114 145
a 113 258 1
a 114 115 144
a 114 258 1
a 115 116 143
a 115 258 1
a 116 117 142
a 116 258 1
a 117 118 141
a 117 258 1
a 118 119 140
a 118 258 1
a 119 120 139
a 119 258 1
a 120 121 138
a 120 258 1
a 121 122 137
a 121 258 1
a 122 123 136
a 122 258 1
a 123 124 135
a 123 258 1
a 124 125 134
a 124 258 1
a 125 126 133
a 125 258 1
a 126 127 132
a 126 258 1
a 127 128 131
a 127 258 1
a 128 129 130
a 128 258 1
a 129 130 129
a 129 258 1
a 130 131 128
a 130 258 1
a 131 132 127
a 131 258 1
a 132 133 126
a 132 258 1
a 133 134 125
a 133 258 1
a 134 135 124
a 134 258 1
a 135 136 123
a 135 258 1
a 136 137 122
a 136 258 1
a 137 138 121
a 137 258 1
a 138 139 120
a 138 258 1
a 139 140 119
a 139 258 1
a 140 141 118
a 140 258 1
a 141 142 117
a 141 258 1
a 142 143 116
a 142 258 1
a 143 144 115
a 143 258 1
a 144 145 114
a 144 258 1
a 145 146 113
a 145 258 1
a 146 147 112
a 146 258 1
a 147 148 111
a 147 258 1
a 148 149 110
a 148 258 1
a 149 150 109
a 149 258 1
a 150 151 108
a 150 258 1
a 151 152 107
a 151 258 1
a 152 153 106
a 152 258 1
a 153 154 105
a 153 258 1
a 154 155 104
a 154 258 1
a 155 156 103
a 155 258 1
a 156 157 102
a 156 258 1
a 157 158 101
a 157 258 1
a 158 159 100
a 158 258 1
a 159 160 99
a 159 258 1
a 160 161 98
a 160 258 1
a 161 162 97
a 161 258 1
a 162 163 96
a 162 258 1
a 163 164 95
a 163 258 1
a 164 165 94
a 164 258 1
a 165 166 93
a 165 258 1
a 166 167 92
a 166 258 1
a 167 168 91
a 167 258 1
a 168 169 90
a 168 258 1
a 169 170 89
a 169 258 1
a 170 171 88
a 170 258 1
a 171 172 87
a 171 258 1
a 172 173 86
a 172 258 1
a 173 174 85
a 173 258 1
a 174 175 84
a 174 258 1
a 175 176 83
a 175 258 1
a 176 177 82
a 176 258 1
a 177 178 81
a 177 258 1
a 178 179 80
a 178 258 1
a 179 180 79
a 179 258 1
a 180 181 78
a 180 258 1
a 181 182 77
a 181 258 1
a 182 183 76
a 182 258 1
a 183 184 75
a 183 258 1
a 184 185 74
a 184 258 1
a 185 186 73
a 185 258 1
a 186 187 72
a 186 258 1
a 187 188 71
a 187 258 1
a 188 189 70
a 188 258 1
a 189 190 69
a 189 258 1
a 190 191 68
a 190 258 1
a 191 192 67
a 191 258 1
a 192 193 66
a 192 258 1
a 193 194 65
a 193 258 1
a 194 195 64
a 194 258 1
a 195 196 63
a 195 258 1
a 196 197 62
a 196 258 1
a 197 198 61
a 197 258 1
a 198 199 60
a 198 258 1
a 199 200 59
a 199 258 1
a 200 201 58
a 200 258 1
a 201 202 57
a 201 258 1
a 202 203 56
a 202 258 1
a 203 204 55
a 203 258 1
a 204 205 54
a 204 258 1
a 205 206 53
a 205 258 1
a 206 207 52
a 206 258 1
a 207 208 51
a 207 258 1
a 208 209 50
a 208 258 1
a 209 210 49
a 209 258 1
a 210 211 48
a 210 258 1
a 211 212 47
a 211 258 1
a 212 213 46
a 212 258 1
a 213 214 45
a 213 258 1
a 214 215 44
a 214 258 1
a 215 216 43
a 215 258 1
a 216 217 42
a 216 258 1
a 217 218 41
a 217 258 1
a 218 219 40
a 218 258 1
a 219 220 39
a 219 258 1
a 220 221 38
a 220 258 1
a 221 222 37
a 221 258 1
a 222 223 36
a 222 258 1
a 223 224 35
a 223 258 1
a 224 225 34
a 224 258 1
a 225 226 33
a 225 258 1
a 226 227 32
a 226 258 1
a 227 228 31
a 227 258 1
a 228 229 30
a 228 258 1
a 229 230 29
a 229 258 1
a 230 231 28
a 230 258 1
a 231 232 27
a 231 258 1
a 232 233 26
a 232 258 1
a 233 234 25
a 233 258 1
a 234 235 24
a 234 258 1
a 235 236 23
a 235 258 1
a 236 237 22
a 236 258 1
a 237 238 21
a 237 258 1
a 238 239 20
a 238 258 1
a 239 240 19
a 239 258 1
a 240 241 18
a 240 258 1
a 241 242 17
a 241 258 1
a 242 243 16
a 242 258 1
a 243 244 15
a 243 258 1
a 244 245 14
a 244 258 1
a 245 246 13
a 245 258 1
a 246 247 12
a 246 258 1
a 247 248 11
a 247 258 1
a 248 249 10
a 248 258 1
a 249 250 9
a 249 258 1
a 250 251 8
a 250 258 1
a 251 252 7
a 251 258 1
a 252 253 6
a 252 258 1
a 253 254 5
a 253 258 1
a 254 255 4
a 254 258 1
a 255 256 3
a 255 258 1
a 256 257 2
a 256 258 1

a 257 512 1
a 257 258 1

a 258 259 255
a 259 260 255
a 260 261 255
a 261 262 255
a 262 263 255
a 263 264 255
a 264 265 255
a 265 266 255
a 266 267 255
a 267 268 255
a 268 269 255
a 269 270 255
a 270 271 255
a 271 272 255
a 272 273 255
a 273 274 255
a 274 275 255
a 275 276 255
a 276 277 255
a 277 278 255
a 278 279 255
a 279 280 255
a 280 281 255
a 281 282 255
a 282 283 255
a 283 284 255
a 284 285 255
a 285 286 255
a 286 287 255
a 287 288 255
a 288 289 255
a 289 290 255
a 290 291 255
a 291 292 255
a 292 293 255
a 293 294 255
a 294 295 255
a 295 296 255
a 296 297 255
a 297 298 255
a 298 299 255
a 299 300 255
a 300 301 255
a 301 302 255
a 302 303 255
a 303 304 255
a 304 305 255
a 305 306 255
